Time sync: 962 ms
--------------------------------------------------
RTP TS: 406500091, Frame Size: 7552, Encode 5, Net 24, Wait -4, Decode 7 E2E 32 
P: seq 20746, size 764, send_delta 0, trans_delta 1, recv_delta 1
P: seq 20747, size 1072, send_delta 3, trans_delta 1, recv_delta 4
P: seq 20748, size 888, send_delta 6, trans_delta 2, recv_delta 8
P: seq 20749, size 874, send_delta 9, trans_delta 2, recv_delta 11
P: seq 20750, size 792, send_delta 12, trans_delta 1, recv_delta 13
P: seq 20751, size 709, send_delta 14, trans_delta 1, recv_delta 15
P: seq 20752, size 860, send_delta 14, trans_delta 1, recv_delta 15
P: seq 20753, size 865, send_delta 17, trans_delta 1, recv_delta 18
P: seq 20754, size 952, send_delta 18, trans_delta 1, recv_delta 19
P: seq 31105, size 950, send_delta 22, trans_delta 2, recv_delta 24
P: seq 31106, size 863, send_delta 24, trans_delta 2, recv_delta 26
P: seq 31107, size 858, send_delta 25, trans_delta 1, recv_delta 26
RTP TS: 406501621, Frame Size: 1072, Encode 4, Net 11, Wait 9, Decode 3 E2E 27 
P: seq 20755, size 1092, send_delta 7, trans_delta 1, recv_delta 8
P: seq 31104, size 1090, send_delta 9, trans_delta 2, recv_delta 11
RTP TS: 406503241, Frame Size: 983, Encode 2, Net 40, Wait -1, Decode 1 E2E 42 
P: seq 20756, size 999, send_delta 27, trans_delta 1, recv_delta 28
P: seq 31112, size 1001, send_delta 39, trans_delta 1, recv_delta 40
P: seq 31116, size 1001, send_delta 39, trans_delta 2, recv_delta 41
P: seq 31120, size 1001, send_delta 40, trans_delta 2, recv_delta 42
P: seq 31124, size 1001, send_delta 43, trans_delta 1, recv_delta 44
P: seq 31128, size 1001, send_delta 45, trans_delta 1, recv_delta 46
P: seq 31132, size 1001, send_delta 45, trans_delta 1, recv_delta 46
RTP TS: 406504861, Frame Size: 568, Encode 2, Net 26, Wait 0, Decode 1 E2E 29 
P: seq 20757, size 584, send_delta 9, trans_delta 1, recv_delta 10
P: seq 31111, size 586, send_delta 18, trans_delta 1, recv_delta 19
P: seq 31115, size 586, send_delta 21, trans_delta 2, recv_delta 23
P: seq 31119, size 586, send_delta 22, trans_delta 1, recv_delta 23
P: seq 31123, size 586, send_delta 25, trans_delta 1, recv_delta 26
P: seq 31127, size 586, send_delta 25, trans_delta 1, recv_delta 26
P: seq 31131, size 586, send_delta 27, trans_delta 1, recv_delta 28
RTP TS: 406506481, Frame Size: 1449, Encode 2, Net 10, Wait 15, Decode 1 E2E 28 
P: seq 20758, size 1054, send_delta 0, trans_delta 0, recv_delta 0
P: seq 20759, size 436, send_delta 0, trans_delta 1, recv_delta 1
P: seq 31109, size 438, send_delta 0, trans_delta 1, recv_delta 1
P: seq 31110, size 1056, send_delta 0, trans_delta 1, recv_delta 1
P: seq 31113, size 438, send_delta 3, trans_delta 1, recv_delta 4
P: seq 31114, size 1056, send_delta 3, trans_delta 1, recv_delta 4
P: seq 31117, size 438, send_delta 4, trans_delta 1, recv_delta 5
P: seq 31118, size 1056, send_delta 4, trans_delta 1, recv_delta 5
P: seq 31121, size 438, send_delta 4, trans_delta 2, recv_delta 6
P: seq 31122, size 1056, send_delta 4, trans_delta 2, recv_delta 6
P: seq 31125, size 438, send_delta 7, trans_delta 1, recv_delta 8
P: seq 31126, size 1056, send_delta 7, trans_delta 1, recv_delta 8
P: seq 31129, size 438, send_delta 9, trans_delta 1, recv_delta 10
P: seq 31130, size 1056, send_delta 9, trans_delta 1, recv_delta 10
RTP TS: 406508101, Frame Size: 3532, Encode 3, Net 5, Wait 16, Decode 2 E2E 26 
P: seq 20760, size 823, send_delta 0, trans_delta 2, recv_delta 2
P: seq 20761, size 957, send_delta 4, trans_delta 1, recv_delta 5
P: seq 20762, size 1168, send_delta 4, trans_delta 1, recv_delta 5
P: seq 20763, size 675, send_delta 4, trans_delta 1, recv_delta 5
RTP TS: 406509631, Frame Size: 8884, Encode 3, Net 7, Wait 10, Decode 4 E2E 24 
P: seq 20764, size 1160, send_delta 0, trans_delta 1, recv_delta 1
P: seq 20765, size 1162, send_delta 2, trans_delta 1, recv_delta 3
P: seq 20766, size 1109, send_delta 2, trans_delta 1, recv_delta 3
P: seq 20767, size 627, send_delta 2, trans_delta 2, recv_delta 4
P: seq 20768, size 627, send_delta 4, trans_delta 2, recv_delta 6
P: seq 20769, size 665, send_delta 4, trans_delta 2, recv_delta 6
P: seq 20770, size 666, send_delta 5, trans_delta 2, recv_delta 7
P: seq 20771, size 693, send_delta 5, trans_delta 2, recv_delta 7
P: seq 20772, size 693, send_delta 5, trans_delta 2, recv_delta 7
P: seq 20773, size 925, send_delta 6, trans_delta 1, recv_delta 7
P: seq 20774, size 805, send_delta 6, trans_delta 1, recv_delta 7
RTP TS: 406511251, Frame Size: 10627, Encode 4, Net 5, Wait 12, Decode 3 E2E 24 
P: seq 20775, size 863, send_delta 0, trans_delta 1, recv_delta 1
P: seq 20776, size 1112, send_delta 1, trans_delta 1, recv_delta 2
P: seq 20777, size 687, send_delta 1, trans_delta 1, recv_delta 2
P: seq 20778, size 688, send_delta 1, trans_delta 1, recv_delta 2
P: seq 20779, size 619, send_delta 1, trans_delta 2, recv_delta 3
P: seq 20780, size 620, send_delta 1, trans_delta 2, recv_delta 3
P: seq 20781, size 1102, send_delta 1, trans_delta 2, recv_delta 3
P: seq 20782, size 908, send_delta 3, trans_delta 1, recv_delta 4
P: seq 20783, size 909, send_delta 3, trans_delta 1, recv_delta 4
P: seq 20784, size 880, send_delta 3, trans_delta 1, recv_delta 4
P: seq 20785, size 880, send_delta 3, trans_delta 2, recv_delta 5
P: seq 20786, size 830, send_delta 3, trans_delta 2, recv_delta 5
P: seq 20787, size 831, send_delta 3, trans_delta 2, recv_delta 5
RTP TS: 406512871, Frame Size: 14425, Encode 4, Net 7, Wait 8, Decode 4 E2E 23 
P: seq 20788, size 1012, send_delta 0, trans_delta 1, recv_delta 1
P: seq 20789, size 1146, send_delta 1, trans_delta 1, recv_delta 2
P: seq 20790, size 962, send_delta 1, trans_delta 2, recv_delta 3
P: seq 20791, size 962, send_delta 2, trans_delta 1, recv_delta 3
P: seq 20792, size 966, send_delta 2, trans_delta 2, recv_delta 4
P: seq 20793, size 966, send_delta 2, trans_delta 2, recv_delta 4
P: seq 20794, size 968, send_delta 3, trans_delta 2, recv_delta 5
P: seq 20795, size 968, send_delta 3, trans_delta 2, recv_delta 5
P: seq 20796, size 817, send_delta 3, trans_delta 2, recv_delta 5
P: seq 20797, size 818, send_delta 3, trans_delta 2, recv_delta 5
P: seq 20798, size 818, send_delta 3, trans_delta 3, recv_delta 6
P: seq 20799, size 1070, send_delta 3, trans_delta 3, recv_delta 6
P: seq 20800, size 1071, send_delta 3, trans_delta 4, recv_delta 7
P: seq 20801, size 1118, send_delta 4, trans_delta 3, recv_delta 7
P: seq 20802, size 1118, send_delta 4, trans_delta 3, recv_delta 7
RTP TS: 406514491, Frame Size: 15603, Encode 4, Net 8, Wait 9, Decode 4 E2E 25 
P: seq 20803, size 938, send_delta 0, trans_delta 1, recv_delta 1
P: seq 20804, size 994, send_delta 2, trans_delta 1, recv_delta 3
P: seq 20805, size 1008, send_delta 2, trans_delta 1, recv_delta 3
P: seq 20806, size 1009, send_delta 2, trans_delta 2, recv_delta 4
P: seq 20807, size 896, send_delta 2, trans_delta 2, recv_delta 4
P: seq 20808, size 897, send_delta 2, trans_delta 2, recv_delta 4
P: seq 20809, size 897, send_delta 2, trans_delta 2, recv_delta 4
P: seq 20810, size 1014, send_delta 2, trans_delta 3, recv_delta 5
P: seq 20811, size 1014, send_delta 2, trans_delta 3, recv_delta 5
P: seq 20812, size 944, send_delta 3, trans_delta 3, recv_delta 6
P: seq 20813, size 945, send_delta 3, trans_delta 3, recv_delta 6
P: seq 20814, size 945, send_delta 3, trans_delta 3, recv_delta 6
P: seq 20815, size 842, send_delta 3, trans_delta 3, recv_delta 6
P: seq 20816, size 842, send_delta 3, trans_delta 4, recv_delta 7
P: seq 20817, size 842, send_delta 4, trans_delta 3, recv_delta 7
P: seq 20818, size 991, send_delta 4, trans_delta 3, recv_delta 7
P: seq 20819, size 992, send_delta 4, trans_delta 4, recv_delta 8
RTP TS: 406516111, Frame Size: 17118, Encode 4, Net 7, Wait 11, Decode 4 E2E 26 
P: seq 20820, size 750, send_delta 0, trans_delta 1, recv_delta 1
P: seq 20821, size 751, send_delta 1, trans_delta 0, recv_delta 1
P: seq 20822, size 751, send_delta 1, trans_delta 1, recv_delta 2
P: seq 20823, size 751, send_delta 1, trans_delta 1, recv_delta 2
P: seq 20824, size 1100, send_delta 1, trans_delta 1, recv_delta 2
P: seq 20825, size 1101, send_delta 1, trans_delta 2, recv_delta 3
P: seq 20826, size 1115, send_delta 2, trans_delta 2, recv_delta 4
P: seq 20827, size 1115, send_delta 3, trans_delta 1, recv_delta 4
P: seq 20828, size 1016, send_delta 3, trans_delta 2, recv_delta 5
P: seq 20829, size 1016, send_delta 3, trans_delta 2, recv_delta 5
P: seq 20830, size 858, send_delta 3, trans_delta 2, recv_delta 5
P: seq 20831, size 858, send_delta 3, trans_delta 3, recv_delta 6
P: seq 20832, size 858, send_delta 4, trans_delta 2, recv_delta 6
