rtp_ts,send_ms,recv_ms,latency_ms
4170251934,494,1483,-11
4170255084,511,1494,-17
4170258234,544,1535,-9
4170261384,579,1560,-19
4170264534,615,1594,-21
4170267684,650,1630,-20
4170270834,685,1662,-23
4170273984,720,1700,-20
4170277134,755,1735,-20
4170280284,790,1771,-19
4170283434,825,1808,-17
4170286494,860,1843,-17
4170289644,895,1880,-15
4170292794,930,1917,-13
4170295944,965,1954,-11
4170299094,999,1987,-12
4170302244,1034,2023,-11
4170305394,1069,2058,-11
4170308544,1104,2093,-11
4170311694,1139,2129,-10
4170314844,1174,2166,-8
4170317994,1209,2202,-7
4170321144,1243,2235,-8
4170324294,1278,2269,-9
4170327444,1313,2304,-9
4170330594,1348,2338,-10
4170333744,1383,2373,-10
4170336894,1418,2408,-10
4170340044,1453,2444,-9
4170343194,1489,2482,-7
4170346344,1525,2521,-4
4170349494,1560,2558,-2
4170352644,1596,2602,6
4170355794,1631,2640,9
4170358854,1666,2675,9
4170362004,1701,2710,9
4170365154,1736,2747,11
4170368304,1771,2783,12
4170371454,1805,2820,15
4170374604,1840,2856,16
4170377754,1875,2893,18
4170380904,1910,2929,19
4170384054,1945,2965,20
4170387204,1981,3001,20
4170390354,2016,3039,23
4170393504,2051,3076,25
4170396654,2086,3113,27
4170399804,2121,3150,29
4170402954,2155,3186,31
4170406104,2190,3221,31
4170409254,2225,3257,32
4170412404,2260,3293,33
4170415554,2295,3330,35
4170418704,2329,3364,35
4170421854,2365,3401,36
4170425004,2400,3437,37
4170428154,2435,3472,37
4170431304,2470,3506,36
4170434454,2504,3540,36
4170437604,2539,3576,37
4170440754,2574,3610,36
4170443904,2609,3646,37
4170447054,2644,3680,36
4170450204,2679,3715,36
4170453354,2714,3749,35
4170456504,2749,3785,36
4170459654,2784,3818,34
4170462804,2819,3852,33
4170465954,2854,3887,33
4170469104,2889,3922,33
4170472254,2924,3955,31
4170475404,2959,3991,32
4170478554,2994,4025,31
4170481704,3029,4060,31
4170484854,3064,4095,31
4170488004,3099,4129,30
4170491154,3133,4163,30
4170494304,3169,4198,29
4170497454,3204,4233,29
4170500604,3239,4268,29
4170503754,3273,4302,29
4170506904,3309,4339,30
4170510054,3345,4373,28
4170513204,3379,4407,28
4170516354,3414,4443,29
4170519504,3450,4476,26
4170522654,3484,4512,28
4170525804,3519,4547,28
4170528954,3555,4581,26
4170532104,3589,4616,27
4170535254,3625,4652,27
4170538404,3659,4687,28
4170541554,3695,4723,28
4170544704,3730,4756,26
4170547854,3765,4792,27
4170551004,3799,4827,28
4170554154,3835,4860,25
4170557304,3869,4897,28
4170560454,3904,4931,27
4170563604,3940,4966,26
4170566754,3974,5001,27
4170569904,4009,5034,25
4170573054,4044,5067,23
4170576204,4078,5101,23
4170579354,4114,5137,23
4170582504,4148,5172,24
4170585654,4184,5211,27
4170588804,4218,5245,27
4170591954,4253,5278,25
4170595104,4288,5313,25
4170598254,4323,5347,24
