rtp_ts,send_ms,recv_ms,latency_ms
1551372049,445,1434,-11
1551375199,476,1489,13
1551378349,509,1503,-6
1551381499,545,1526,-19
1551384649,579,1559,-20
1551387799,616,1596,-20
1551390949,650,1628,-22
1551394099,685,1666,-19
1551397249,720,1702,-18
1551400399,755,1738,-17
1551403459,790,1774,-16
1551406609,825,1811,-14
1551409759,860,1849,-11
1551412909,895,1886,-9
1551416059,930,1922,-8
1551419209,965,1959,-6
1551422359,999,1992,-7
1551425509,1034,2027,-7
1551428659,1069,2063,-6
1551431809,1104,2098,-6
1551434959,1139,2134,-5
1551438109,1174,2170,-4
1551441259,1209,2206,-3
1551444409,1243,2240,-3
1551447559,1278,2273,-5
1551450619,1313,2307,-6
1551453769,1347,2340,-7
1551456919,1382,2374,-8
1551460069,1417,2409,-8
1551463219,1453,2446,-7
1551466369,1489,2486,-3
1551469519,1524,2523,-1
1551472669,1559,2563,4
1551475819,1595,2605,10
1551478969,1630,2641,11
1551482119,1666,2677,11
1551485269,1700,2713,13
1551488419,1735,2750,15
1551491569,1770,2787,17
1551494719,1805,2822,17
1551497869,1840,2859,19
1551501019,1875,2896,21
1551504079,1910,2931,21
1551507229,1945,2968,23
1551510379,1980,3006,26
1551513529,2015,3042,27
1551516679,2050,3079,29
1551519829,2085,3116,31
1551522979,2120,3151,31
1551526129,2155,3188,33
1551529279,2190,3222,32
1551532429,2224,3260,36
1551535579,2259,3295,36
1551538729,2294,3331,37
1551541879,2329,3365,36
1551545029,2364,3402,38
1551548179,2399,3437,38
1551551329,2434,3472,38
1551554479,2469,3507,38
1551557629,2503,3542,39
1551560779,2538,3578,40
1551563929,2573,3611,38
1551567079,2608,3644,36
1551570229,2643,3678,35
1551573289,2678,3714,36
1551576439,2713,3746,33
1551579589,2748,3782,34
1551582829,2783,3817,34
1551585979,2818,3851,33
1551589129,2853,3887,34
1551592279,2888,3922,34
1551595429,2923,3956,33
1551598489,2958,3989,31
1551601639,2993,4024,31
1551604789,3028,4060,32
1551607939,3062,4093,31
1551611089,3097,4127,30
1551614239,3132,4162,30
1551617389,3167,4196,29
1551620539,3202,4232,30
1551623689,3237,4267,30
1551626839,3271,4301,30
1551629989,3307,4337,30
1551633139,3343,4371,28
1551636289,3377,4406,29
1551639439,3412,4442,30
1551642589,3448,4476,28
1551645739,3482,4510,28
1551648889,3517,4546,29
1551652039,3553,4581,28
1551655189,3587,4615,28
1551658339,3623,4650,27
1551661579,3658,4685,27
1551664639,3693,4720,27
1551667789,3728,4754,26
1551670939,3763,4789,26
1551674089,3797,4825,28
1551677239,3833,4860,27
1551680389,3868,4895,27
1551683539,3903,4930,27
1551686689,3939,4964,25
1551689839,3973,4998,25
1551692989,4008,5032,24
1551696139,4043,5064,21
1551699289,4077,5098,21
1551702439,4112,5133,21
1551705589,4147,5169,22
1551708739,4183,5207,24
1551711889,4217,5242,25
1551715039,4252,5276,24
1551718189,4287,5312,25
1551721339,4322,5346,24
1551724489,4356,5379,23
1551727639,4391,5413,22
1551730789,4426,5446,20
1551733939,4461,5480,19
1551737089,4495,5514,19
1551740239,4530,5548,18
1551743389,4566,5588,22
1551746539,4602,5622,20
1551749689,4637,5658,21
1551752839,4671,5693,22
1551755989,4707,5729,22
1551759139,4742,5763,21
1551762289,4776,5799,23
1551765349,4811,5834,23
1551768499,4846,5867,21
1551771649,4881,5903,22
1551774799,4916,5938,22
1551777949,4951,5973,22
1551781099,4986,6007,21
1551784249,5021,6043,22
1551787399,5056,6077,21
1551790549,5091,6112,21
1551793699,5125,6146,21
1551796849,5161,6182,21
1551799999,5196,6215,19
1551803149,5231,6250,19
1551806299,5265,6284,19
1551809449,5301,6321,20
1551812599,5335,6354,19
1551815749,5371,6390,19
1551818899,5407,6426,19
1551822049,5441,6461,20
1551825109,5476,6496,20
1551828259,5512,6534,22
1551831409,5547,6570,23
1551834559,5582,6607,25
1551837709,5617,6643,26
1551840859,5651,6678,27
1551844009,5686,6711,25
1551847159,5721,6744,23
1551850309,5755,6780,25
1551853459,5790,6816,26
1551856609,5825,6852,27
1551859759,5860,6887,27
1551862909,5896,6922,26
1551866059,5930,6958,28
1551869209,5966,6995,29
1551872359,6000,7032,32
1551875509,6035,7068,33
1551878659,6070,7103,33
1551881809,6105,7138,33
1551884959,6139,7171,32
1551888109,6175,7206,31
1551891259,6209,7241,32
1551894409,6244,7276,32
1551897559,6279,7312,33
1551900709,6314,7348,34
1551903859,6349,7381,32
1551907009,6384,7417,33
1551910159,6419,7452,33
1551913309,6454,7487,33
1551916369,6489,7521,32
1551919519,6524,7558,34
1551922669,6559,7593,34
1551925819,6595,7630,35
1551928969,6630,7664,34
1551932119,6665,7698,33
1551935269,6700,7734,34
1551938419,6735,7770,35
1551941569,6769,7804,35
1551944719,6804,7839,35
1551947869,6839,7873,34
1551951019,6873,7907,34
1551954169,6908,7940,32
1551957319,6942,7974,32
1551960469,6978,8013,35
1551963619,7012,8045,33
1551966769,7048,8080,32
1551969919,7082,8113,31
1551973069,7122,8154,32
1551976219,7157,8188,31
1551979369,7191,8221,30
1551982519,7228,8259,31
1551985669,7262,8295,33
1551988819,7297,8329,32
1551991969,7333,8364,31
1551995119,7368,8400,32
1551998269,7403,8435,32
1552001419,7438,8472,34
1552004569,7472,8506,34
1552007719,7508,8541,33
1552010869,7541,8574,33
1552014019,7575,8607,32
